"year","race","hispanic","region","partyid","coninc","polviews"
1972,1,NA,4,2,33333,NA
1972,3,NA,4,1,11111,NA
1972,1,NA,4,4,50926,NA
1972,1,NA,4,5,NA,NA
1972,3,NA,4,4,25926,NA
1972,1,NA,4,1,3704,NA
1972,1,NA,4,1,18519,NA
1972,1,NA,4,6,41667,NA
1972,1,NA,4,1,41667,NA
1972,1,NA,4,5,3704,NA
1972,1,NA,4,5,41667,NA
1972,1,NA,2,1,41667,NA
1972,1,NA,2,1,18519,NA
1972,1,NA,2,3,33333,NA
1972,1,NA,2,5,25926,NA
1972,1,NA,2,5,NA,NA
1972,1,NA,2,6,18519,NA
1972,1,NA,2,6,25926,NA
1972,1,NA,2,5,11111,NA
1972,1,NA,6,3,NA,NA
1972,1,NA,6,7,18519,NA
1972,1,NA,6,7,18519,NA
1972,1,NA,6,0,25926,NA
1972,1,NA,6,3,NA,NA
1972,1,NA,6,1,11111,NA
1972,1,NA,6,3,25926,NA
1972,1,NA,6,1,33333,NA
1972,1,NA,6,2,3704,NA
1972,2,NA,2,1,18519,NA
1972,2,NA,2,3,33333,NA
1972,2,NA,2,3,NA,NA
1972,2,NA,2,1,60185,NA
1972,2,NA,2,2,60185,NA
1972,2,NA,2,1,41667,NA
1972,2,NA,2,1,18519,NA
1972,2,NA,2,0,33333,NA
1972,2,NA,5,7,18519,NA
1972,3,NA,5,1,25926,NA
1972,2,NA,5,3,11111,NA
1972,2,NA,5,0,83333,NA
1972,2,NA,5,0,69444,NA
1972,2,NA,5,0,83333,NA
1972,2,NA,5,0,NA,NA
1972,1,NA,5,1,18519,NA
1972,2,NA,5,1,50926,NA
1972,1,NA,3,1,130356,NA
1972,1,NA,3,1,NA,NA
1972,1,NA,3,0,130356,NA
1972,1,NA,3,3,130356,NA
1972,1,NA,3,2,130356,NA
1972,1,NA,3,0,130356,NA
1972,1,NA,3,5,60185,NA
1972,1,NA,3,1,130356,NA
1972,1,NA,3,2,130356,NA
1972,2,NA,2,1,11111,NA
1972,2,NA,2,3,25926,NA
1972,2,NA,2,7,11111,NA
1972,2,NA,2,7,18519,NA
1972,2,NA,2,1,11111,NA
1972,2,NA,2,0,18519,NA
1972,2,NA,2,1,11111,NA
1972,2,NA,2,0,3704,NA
